id, name,calories,protein, fat,carbs,vit_a,vit_d,vit_e,vit_b1,vit_b2,vit_c,salt
0021,こむぎ　［小麦粉］　強力粉　1等,337.00,11.80,1.50,71.70,0.00,0.00,0.30,0.09,0.04,0.00,0.00
0022,こむぎ　［小麦粉］　強力粉　2等,343.00,12.60,1.70,70.60,0.00,0.00,0.50,0.13,0.04,0.00,0.00
0023,こむぎ　［小麦粉］　強力粉　全粒粉,320.00,12.80,2.90,68.20,0.00,0.00,1.00,0.34,0.09,0.00,0.00
0024,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335.00,10.10,1.90,73.60,1.00,0.10,0.60,0.21,0.03,0.00,3.70
0025,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360.00,7.80,4.00,74.40,9.00,0.10,0.50,0.10,0.08,0.00,1.00
0026,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311.00,10.20,1.20,70.00,5.00,0.00,0.30,0.15,0.07,0.00,9.70
0027,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337.00,8.80,1.30,76.10,1.00,0.00,0.30,0.12,0.99,0.00,0.50
0028,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,132.00,3.30,0.50,30.20,3.00,0.00,0.10,0.04,0.16,0.00,0.20
0029,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588.00,4.30,47.70,37.00,0.00,0.00,7.60,0.05,0.14,0.00,0.20
0030,こむぎ　［パン類］　角形食パン　食パン,248.00,8.90,4.10,46.40,0.00,0.00,0.40,0.07,0.05,0.00,1.20
0031,こむぎ　［パン類］　角形食パン　焼き,269.00,9.70,4.50,50.60,0.00,0.00,0.40,0.07,0.05,0.00,1.30
0032,こむぎ　［パン類］　角形食パン　耳を除いたもの,226.00,8.20,3.70,42.60,0.00,0.00,0.30,0.06,0.05,0.00,1.10
0033,こむぎ　［パン類］　角形食パン　耳,273.00,9.70,4.50,50.80,1.00,0.00,0.40,0.06,0.06,0.00,1.30
0034,こむぎ　［パン類］　食パン　リーンタイプ,246.00,8.00,3.70,47.50,0.00,0.30,0.40,0.10,0.05,0.00,1.30
0035,こむぎ　［パン類］　食パン　リッチタイプ,256.00,7.80,6.00,45.60,55.00,0.30,0.30,0.09,0.09,0.00,1.00
0036,こむぎ　［パン類］　山形食パン　食パン,246.00,7.80,3.50,47.90,0.00,0.00,0.40,0.08,0.06,0.00,1.30
0037,こむぎ　［パン類］　コッペパン,273.00,9.20,3.80,54.70,1.00,0.00,0.60,0.08,0.07,0.00,1.00
003701,こむぎ　［パン類］　バンズ,274.00,10.40,4.80,50.60,0.00,0.00,0.70,0.11,0.06,0.00,1.20
0038,こむぎ　［パン類］　乾パン,386.00,9.50,4.40,78.80,0.00,0.00,1.10,0.14,0.06,0.00,1.20
0039,こむぎ　［パン類］　フランスパン,289.00,9.40,1.30,57.50,0.00,0.00,0.10,0.08,0.05,0.00,1.60
0040,こむぎ　［パン類］　ライ麦パン,252.00,8.40,2.20,52.70,0.00,0.00,0.30,0.16,0.06,0.00,1.20
0041,こむぎ　［パン類］　全粒粉パン,251.00,7.90,5.70,45.50,0.00,0.00,0.80,0.17,0.07,0.00,1.00
0042,こむぎ　［パン類］　ぶどうパン,263.00,8.20,3.50,51.10,0.00,0.00,0.40,0.11,0.05,0.00,1.00
0043,こむぎ　［パン類］　ロールパン,309.00,10.10,9.00,48.60,1.00,0.10,0.50,0.10,0.06,0.00,1.20
0044,こむぎ　［パン類］　クロワッサン　レギュラータイプ,406.00,6.50,20.40,51.50,37.00,1.40,2.60,0.11,0.09,0.00,1.40
0045,こむぎ　［パン類］　クロワッサン　リッチタイプ,438.00,7.90,26.80,43.90,6.00,0.10,1.90,0.08,0.03,0.00,1.20
0046,こむぎ　［パン類］　くるみパン,292.00,8.20,12.60,38.70,16.00,0.10,0.40,0.11,0.09,0.00,0.80
0047,こむぎ　［パン類］　イングリッシュマフィン,224.00,8.10,3.60,40.80,0.00,0.00,0.30,0.15,0.08,0.00,1.20
0048,こむぎ　［パン類］　ナン,257.00,10.30,3.40,47.60,0.00,0.00,0.60,0.13,0.06,0.00,1.30
0049,こむぎ　［パン類］　ベーグル,270.00,9.60,2.00,54.60,0.00,0.00,0.20,0.19,0.08,0.00,1.20
0050,こむぎ　［うどん・そうめん類］　うどん　生,249.00,6.10,0.60,56.80,0.00,0.00,0.20,0.09,0.03,0.00,2.50
0051,こむぎ　［うどん・そうめん類］　うどん　ゆで,95.00,2.60,0.40,21.60,0.00,0.00,0.10,0.02,0.01,0.00,0.30
0052,こむぎ　［うどん・そうめん類］　うどん　半生うどん,296.00,7.80,3.40,62.50,0.00,0.00,0.20,0.10,0.03,0.00,3.00
0053,こむぎ　［うどん・そうめん類］　干しうどん　乾,333.00,8.50,1.10,71.90,0.00,0.00,0.30,0.08,0.02,0.00,4.30
0054,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117.00,3.10,0.50,25.80,0.00,0.00,0.10,0.02,0.01,0.00,0.50
0055,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333.00,9.50,1.10,72.70,0.00,0.00,0.30,0.08,0.02,0.00,3.80
0056,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114.00,3.50,0.40,25.80,0.00,0.00,0.10,0.02,0.01,0.00,0.20
0057,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312.00,9.30,1.50,68.90,0.00,0.00,0.10,0.06,0.02,0.00,5.80
0058,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119.00,3.50,0.60,25.50,0.00,0.00,0.00,0.03,0.01,0.00,0.30
0059,こむぎ　［中華めん類］　中華めん　生,249.00,8.60,1.20,55.70,0.00,0.00,0.20,0.02,0.02,0.00,1.00
0060,こむぎ　［中華めん類］　中華めん　ゆで,133.00,4.90,0.60,29.20,0.00,0.00,0.10,0.01,0.01,0.00,0.20
0061,こむぎ　［中華めん類］　半生中華めん　,305.00,9.90,4.00,61.20,0.00,0.00,0.00,0.07,0.03,0.00,1.20
0062,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162.00,4.90,1.70,35.60,0.00,0.00,0.10,0.00,0.16,0.00,0.30
0063,こむぎ　［中華めん類］　蒸し中華めん  ソテー,211.00,5.20,4.90,38.90,0.00,0.00,0.10,0.00,0.00,0.00,0.30
0064,こむぎ　［中華めん類］　干し中華めん　乾,337.00,11.70,1.60,70.20,0.00,0.00,0.20,0.02,0.03,0.00,1.00
0065,こむぎ　［中華めん類］　干し中華めん　ゆで,131.00,4.90,0.50,27.50,0.00,0.00,0.00,0.00,0.00,0.00,0.20
0066,こむぎ　［中華めん類］　沖縄そば　生,266.00,9.20,2.00,54.20,0.00,0.00,0.30,0.02,0.04,0.00,2.10
0067,こむぎ　［中華めん類］　沖縄そば　ゆで,132.00,5.20,0.80,28.00,0.00,0.00,0.20,0.01,0.02,0.00,0.40
0068,こむぎ　［中華めん類］　干し沖縄そば　乾,317.00,12.00,1.70,67.80,0.00,0.00,0.10,0.12,0.05,0.00,4.30
0069,こむぎ　［中華めん類］　干し沖縄そば　ゆで,132.00,5.20,0.60,28.60,0.00,0.00,0.00,0.02,0.02,0.00,0.50
0070,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424.00,10.10,16.70,63.50,0.00,0.00,3.10,1.46,1.67,0.00,6.40
0071,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439.00,10.10,19.10,61.40,1.00,0.00,2.20,0.55,0.83,0.00,5.60
0072,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100.00,2.30,4.40,13.40,0.00,0.00,0.50,0.02,0.13,0.00,1.10
0073,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189.00,3.90,7.70,27.90,0.00,0.00,0.80,0.05,0.06,0.00,0.40
0074,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,453.00,8.90,19.60,65.50,0.00,0.00,2.20,0.16,0.19,0.00,1.50
0075,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336.00,10.30,5.20,67.10,1.00,0.00,1.30,0.21,0.04,0.00,6.90
0076,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,93.00,3.00,0.80,18.70,0.00,0.00,0.20,0.01,0.01,0.00,1.10
0077,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,139.00,3.40,0.80,31.00,3.00,0.00,0.70,0.00,0.00,0.00,0.60
0078,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,334.00,8.50,1.90,75.20,5.00,0.00,1.70,0.01,0.01,0.00,3.00
0079,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,422.00,10.90,18.50,58.60,26.00,0.20,3.10,0.90,0.61,2.00,5.80
0080,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,92.00,2.50,4.20,13.20,6.00,0.00,0.70,0.20,0.14,1.00,1.30
0081,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,175.00,3.80,7.70,25.20,6.00,0.00,1.20,0.19,0.14,0.00,1.10
0082,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,417.00,10.00,19.10,54.60,12.00,0.00,2.70,0.61,0.52,2.00,6.30
0083,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,90.00,2.30,4.50,12.90,3.00,0.00,0.60,0.14,0.12,1.00,1.50
0084,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,142.00,3.00,5.80,20.70,1.00,0.00,0.90,0.15,0.14,0.00,1.10
0085,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,418.00,8.20,18.60,57.50,4.00,0.00,3.10,0.48,0.66,1.00,3.80
0086,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,222.00,5.00,11.30,34.20,2.00,0.00,1.80,0.28,0.30,2.00,2.30
0087,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,314.00,9.20,5.80,62.60,12.00,0.00,1.10,0.16,0.13,1.00,7.10
0088,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,66.00,2.50,2.10,10.20,3.00,0.00,0.30,0.10,0.10,2.00,1.40
0089,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,121.00,3.40,1.30,25.30,0.00,0.00,0.30,0.05,0.06,0.00,1.00
0090,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,437.00,10.90,19.80,56.10,4.00,0.00,2.60,0.11,0.05,1.00,6.70
0091,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,91.00,2.20,4.70,11.20,0.00,0.00,0.60,0.19,0.08,2.00,1.40
0092,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,163.00,2.70,7.20,24.40,0.00,0.00,1.00,0.15,0.06,1.00,1.10
0093,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347.00,12.90,1.80,73.10,1.00,0.00,0.30,0.19,0.06,0.00,0.00
0094,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150.00,5.80,0.90,32.20,0.00,0.00,0.10,0.06,0.03,0.00,1.20
0095,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186.00,5.50,5.80,30.50,0.00,0.00,0.90,0.06,0.03,0.00,1.10
0096,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232.00,7.80,1.90,46.90,0.00,0.00,0.10,0.05,0.04,0.00,1.20
0097,こむぎ　［ふ類］　生ふ,161.00,12.70,0.80,26.20,0.00,0.00,0.00,0.08,0.03,0.00,0.00
0098,こむぎ　［ふ類］　焼きふ　釜焼きふ,357.00,28.50,2.70,56.90,0.00,0.00,0.50,0.16,0.07,0.00,0.00
0099,こむぎ　［ふ類］　焼きふ　板ふ,351.00,25.60,3.30,57.30,0.00,0.00,0.60,0.20,0.08,0.00,0.50
0100,こむぎ　［ふ類］　焼きふ　車ふ,361.00,30.20,3.40,54.20,0.00,0.00,0.40,0.12,0.07,0.00,0.30
0101,こむぎ　［ふ類］　油ふ,547.00,22.70,35.30,34.40,0.00,0.00,3.90,0.07,0.03,0.00,0.10
0102,こむぎ　［その他］　小麦はいが,391.00,32.00,11.60,48.30,5.00,0.00,28.00,1.82,0.71,0.00,0.00
0103,こむぎ　［その他］　小麦たんぱく　粉末状,398.00,72.00,9.70,10.60,1.00,0.00,1.10,0.03,0.12,0.00,0.20
0104,こむぎ　［その他］　小麦たんぱく　粒状,101.00,20.00,2.00,1.80,0.00,0.00,0.50,0.02,0.01,0.00,0.10
0105,こむぎ　［その他］　小麦たんぱく　ペースト状,145.00,25.00,4.10,3.90,1.00,0.00,1.70,0.20,0.03,0.00,0.60
0106,こむぎ　［その他］　かやきせんべい,359.00,10.60,1.90,75.10,0.00,0.00,0.30,0.17,0.02,0.00,2.50
0107,こむぎ　［その他］　ぎょうざの皮　生,275.00,9.30,1.40,57.00,0.00,0.00,0.20,0.08,0.04,0.00,0.00
0108,こむぎ　［その他］　しゅうまいの皮　生,275.00,8.30,1.40,58.90,0.00,0.00,0.20,0.09,0.04,0.00,0.00
0109,こむぎ　［その他］　春巻きの皮　生,288.00,8.30,1.60,62.20,0.00,0.00,0.00,0.03,0.01,0.00,1.10
0110,こむぎ　［その他］　春巻きの皮　揚げ,512.00,7.20,30.70,53.70,0.00,0.00,4.90,0.02,0.01,0.00,0.90
0111,こむぎ　［その他］　ピザ生地,265.00,9.10,3.00,51.10,0.00,0.00,0.30,0.15,0.11,0.00,1.30
0112,こむぎ　［その他］　ちくわぶ,160.00,7.10,1.20,31.10,0.00,0.00,0.00,0.01,0.02,0.00,0.00
0113,こむぎ　［その他］　パン粉　生,277.00,11.00,5.10,47.60,0.00,0.00,0.30,0.11,0.02,0.00,0.90
0114,こむぎ　［その他］　パン粉　半生,315.00,12.50,5.80,54.30,0.00,0.00,0.40,0.13,0.03,0.00,1.00
0115,こむぎ　［その他］　パン粉　乾燥,349.00,14.90,4.10,67.40,0.00,0.00,0.40,0.16,0.05,0.00,1.40
0116,こむぎ　［その他］　冷めん　生,249.00,3.90,0.70,57.60,0.00,0.00,0.00,0.04,0.00,0.00,1.30
0117,こめ　［水稲穀粒］　玄米,346.00,6.80,2.70,74.30,0.00,0.00,1.20,0.41,0.04,0.00,0.00
0118,こめ　［水稲穀粒］　半つき米,345.00,6.50,1.80,75.90,0.00,0.00,0.80,0.30,0.03,0.00,0.00
0119,こめ　［水稲穀粒］　七分つき米,348.00,6.30,1.50,76.60,0.00,0.00,0.40,0.24,0.03,0.00,0.00
0120,こめ　［水稲穀粒］　精白米　うるち米,342.00,6.10,0.90,77.60,0.00,0.00,0.10,0.08,0.02,0.00,0.00
0121,こめ　［水稲穀粒］　精白米　もち米,343.00,6.40,1.20,77.20,0.00,0.00,0.20,0.12,0.02,0.00,0.00
0122,こめ　［水稲穀粒］　精白米　インディカ米,347.00,7.40,0.90,77.70,0.00,0.00,0.00,0.06,0.02,0.00,0.00
0123,こめ　［水稲穀粒］　はいが精米,343.00,6.50,2.00,75.80,0.00,0.00,0.90,0.23,0.03,0.00,0.00
0124,こめ　［水稲穀粒］　発芽玄米,339.00,6.50,3.30,74.30,0.00,0.00,1.20,0.35,0.02,0.00,0.00
0125,こめ　［水稲穀粒］　赤米,344.00,8.50,3.30,71.90,0.00,0.00,1.50,0.38,0.05,0.00,0.00
0126,こめ　［水稲穀粒］　黒米,341.00,7.80,3.20,72.00,3.00,0.00,1.30,0.39,0.10,0.00,0.00
0127,こめ　［水稲めし］　玄米,152.00,2.80,1.00,35.60,0.00,0.00,0.50,0.16,0.02,0.00,0.00
0128,こめ　［水稲めし］　半つき米,154.00,2.70,0.60,36.40,0.00,0.00,0.20,0.08,0.01,0.00,0.00
0129,こめ　［水稲めし］　七分つき米,160.00,2.60,0.50,36.70,0.00,0.00,0.10,0.06,0.01,0.00,0.00
0130,こめ　［水稲めし］　精白米　インディカ米,184.00,3.80,0.40,41.50,0.00,0.00,0.00,0.02,0.00,0.00,0.00
0131,こめ　［水稲めし］　精白米　うるち米,156.00,2.50,0.30,37.10,0.00,0.00,0.00,0.02,0.01,0.00,0.00
0132,こめ　［水稲めし］　精白米　もち米,188.00,3.50,0.50,43.90,0.00,0.00,0.00,0.03,0.01,0.00,0.00
0133,こめ　［水稲めし］　はいが精米,159.00,2.70,0.60,36.40,0.00,0.00,0.40,0.08,0.01,0.00,0.00
0134,こめ　［水稲めし］　発芽玄米,161.00,3.00,1.40,35.00,0.00,0.00,0.30,0.13,0.01,0.00,0.00
0135,こめ　［水稲めし］　赤米,150.00,3.80,1.30,32.70,0.00,0.00,0.60,0.15,0.02,0.00,0.00
0136,こめ　［水稲めし］　黒米,150.00,3.60,1.40,32.20,1.00,0.00,0.30,0.14,0.04,0.00,0.00
0137,こめ　［水稲軟めし］　精白米,113.00,1.80,0.30,26.40,0.00,0.00,0.00,0.02,0.01,0.00,0.00
0138,こめ　［水稲全かゆ］　玄米,64.00,1.20,0.40,15.20,0.00,0.00,0.00,0.07,0.01,0.00,0.00
0139,こめ　［水稲全かゆ］　半つき米,65.00,1.10,0.30,15.50,0.00,0.00,0.00,0.03,0.00,0.00,0.00
0140,こめ　［水稲全かゆ］　七分つき米,68.00,1.10,0.20,15.60,0.00,0.00,0.00,0.03,0.00,0.00,0.00
0141,こめ　［水稲全かゆ］　精白米,65.00,1.10,0.10,15.70,0.00,0.00,0.00,0.01,0.00,0.00,0.00
0142,こめ　［水稲五分かゆ］　玄米,32.00,0.60,0.20,7.60,0.00,0.00,0.00,0.03,0.00,0.00,0.00
0143,こめ　［水稲五分かゆ］　半つき米,32.00,0.60,0.10,7.70,0.00,0.00,0.00,0.02,0.00,0.00,0.00
0144,こめ　［水稲五分かゆ］　七分つき米,32.00,0.60,0.10,7.70,0.00,0.00,0.00,0.01,0.00,0.00,0.00
0145,こめ　［水稲五分かゆ］　精白米,33.00,0.50,0.10,7.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0146,こめ　［水稲おもゆ］　玄米,19.00,0.40,0.10,4.40,0.00,0.00,0.00,0.02,0.00,0.00,0.00
0147,こめ　［水稲おもゆ］　半つき米,19.00,0.30,0.10,4.60,0.00,0.00,0.00,0.01,0.00,0.00,0.00
0148,こめ　［水稲おもゆ］　七分つき米,20.00,0.30,0.10,4.60,0.00,0.00,0.00,0.01,0.00,0.00,0.00
0149,こめ　［水稲おもゆ］　精白米,19.00,0.30,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0150,こめ　［陸稲穀粒］　玄米,357.00,10.10,2.70,71.10,0.00,0.00,1.20,0.41,0.04,0.00,0.00
0151,こめ　［陸稲穀粒］　半つき米,356.00,9.60,1.80,72.90,0.00,0.00,0.80,0.30,0.03,0.00,0.00
0152,こめ　［陸稲穀粒］　七分つき米,359.00,9.50,1.50,73.40,0.00,0.00,0.40,0.24,0.03,0.00,0.00
0153,こめ　［陸稲穀粒］　精白米,331.00,9.30,0.90,74.50,0.00,0.00,0.10,0.08,0.02,0.00,0.00
0154,こめ　［陸稲めし］　玄米,156.00,4.10,1.00,34.30,0.00,0.00,0.50,0.16,0.02,0.00,0.00
0155,こめ　［陸稲めし］　半つき米,157.00,3.80,0.60,35.30,0.00,0.00,0.20,0.08,0.01,0.00,0.00
0156,こめ　［陸稲めし］　七分つき米,155.00,3.60,0.50,35.70,0.00,0.00,0.10,0.06,0.01,0.00,0.00
0157,こめ　［陸稲めし］　精白米,157.00,3.50,0.30,36.10,0.00,0.00,0.00,0.02,0.01,0.00,0.00
0158,こめ　［うるち米製品］　アルファ化米　一般用,358.00,6.00,1.00,84.80,0.00,0.00,0.10,0.04,0.00,0.00,0.00
0159,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,358.00,6.00,1.00,84.80,0.00,0.00,0.10,0.41,0.00,0.00,0.00
015901,こめ　［うるち米製品］　水稲全かゆ　レトルト　玄米,45.00,0.90,0.40,10.60,0.00,0.00,0.20,0.03,0.00,0.00,0.00
015902,こめ　［うるち米製品］　水稲全かゆ　レトルト　精白米,37.00,0.60,0.10,8.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0160,こめ　［うるち米製品］　おにぎり,170.00,2.70,0.30,39.40,0.00,0.00,0.00,0.02,0.01,0.00,0.50
0161,こめ　［うるち米製品］　焼きおにぎり,166.00,3.10,0.30,39.50,0.00,0.00,0.00,0.03,0.02,0.00,1.00
0162,こめ　［うるち米製品］　きりたんぽ,200.00,3.20,0.40,46.20,0.00,0.00,0.00,0.03,0.01,0.00,0.00
0163,こめ　［うるち米製品］　上新粉,343.00,6.20,0.90,78.50,0.00,0.00,0.20,0.09,0.02,0.00,0.00
0164,こめ　［うるち米製品］　玄米粉,370.00,7.10,2.90,84.10,0.00,0.00,1.20,0.00,0.03,0.00,0.00
0165,こめ　［うるち米製品］　米粉,356.00,6.00,0.70,81.90,0.00,0.00,0.00,0.03,0.01,0.00,0.00
0166,こめ　［うるち米製品］　米粉パン　食パン,247.00,10.70,5.10,41.60,0.00,0.00,0.50,0.05,0.06,0.00,1.10
0167,こめ　［うるち米製品］　米粉パン　ロールパン,256.00,8.80,6.70,42.00,0.00,0.50,0.80,0.05,0.08,0.00,0.90
0168,こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,247.00,3.40,3.10,51.30,0.00,0.00,0.50,0.05,0.03,0.00,0.90
0169,こめ　［うるち米製品］　米粉めん,252.00,3.60,0.70,58.40,0.00,0.00,0.00,0.03,0.00,0.00,0.10
0170,こめ　［うるち米製品］　ビーフン,360.00,7.00,1.60,79.90,0.00,0.00,0.00,0.06,0.02,0.00,0.00
0171,こめ　［うるち米製品］　ライスペーパー,339.00,0.50,0.30,84.30,0.00,0.00,0.00,0.01,0.00,0.00,1.70
0172,こめ　［うるち米製品］　米こうじ,260.00,5.80,1.70,59.20,0.00,0.00,0.20,0.11,0.13,0.00,0.00
0173,こめ　［もち米製品］　もち,223.00,4.00,0.60,50.80,0.00,0.00,0.00,0.03,0.01,0.00,0.00
0174,こめ　［もち米製品］　赤飯,186.00,4.30,0.60,41.90,0.00,0.00,0.00,0.05,0.01,0.00,0.00
0175,こめ　［もち米製品］　あくまき,131.00,2.30,1.80,25.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0176,こめ　［もち米製品］　白玉粉,347.00,6.30,1.00,80.00,0.00,0.00,0.00,0.03,0.01,0.00,0.00
0177,こめ　［もち米製品］　道明寺粉,349.00,7.10,0.70,80.40,0.00,0.00,0.00,0.04,0.01,0.00,0.00
0178,こめ　［その他］　米ぬか,374.00,13.40,19.60,48.80,0.00,0.00,10.00,3.12,0.21,0.00,0.00
0179,そば　そば粉　全層粉,339.00,12.00,3.10,69.60,0.00,0.00,0.20,0.46,0.11,0.00,0.00
0180,そば　そば粉　内層粉,342.00,6.00,1.60,77.60,0.00,0.00,0.10,0.16,0.07,0.00,0.00
0181,そば　そば粉　中層粉,334.00,10.20,2.70,71.60,0.00,0.00,0.20,0.35,0.10,0.00,0.00
0182,そば　そば粉　表層粉,337.00,15.00,3.60,65.10,0.00,0.00,0.40,0.50,0.14,0.00,0.00
0183,そば　そば米,347.00,9.60,2.50,73.70,0.00,0.00,0.10,0.42,0.10,0.00,0.00
0184,そば　そば　生,271.00,9.80,1.90,54.50,0.00,0.00,0.20,0.19,0.09,0.00,0.00
0185,そば　そば　ゆで,130.00,4.80,1.00,26.00,0.00,0.00,0.10,0.05,0.02,0.00,0.00
0186,そば　そば　半生そば,325.00,10.50,3.80,61.80,0.00,0.00,0.20,0.22,0.10,0.00,0.00
0187,そば　干しそば　乾,344.00,14.00,2.30,66.70,0.00,0.00,0.30,0.37,0.08,0.00,2.20
0188,そば　干しそば　ゆで,113.00,4.80,0.70,22.10,0.00,0.00,0.10,0.08,0.02,0.00,0.10
0189,とうもろこし　玄穀　黄色種,341.00,8.60,5.00,70.60,13.00,0.00,1.00,0.30,0.10,0.00,0.00
0190,とうもろこし　玄穀　白色種,341.00,8.60,5.00,70.60,0.00,0.00,1.00,0.30,0.10,0.00,0.00
0191,とうもろこし　コーンミール　黄色種,375.00,8.30,4.00,72.40,13.00,0.00,1.10,0.15,0.08,0.00,0.00
